Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
14 Register Request,10000,1770,1104,4334,5448,8013,7,13300,0.000%,332.76763,54.92,87.70
15 Login Request,10000,853,366,2434,3528,5913,2,11235,0.000%,332.27007,117.99,78.69
16 Get Stock Prices Request,10000,3714,608,11936,13334,15823,4,18259,0.000%,260.51164,120.59,88.95
17 Add Money Request,10000,1666,416,5723,6620,13324,5,16936,0.000%,214.99366,34.43,81.60
18 Get Wallet Balance Request,10000,1981,465,6044,8325,13044,1,17575,0.000%,210.65936,39.50,72.34
19 Place Stock Order Request,10000,95046,85552,179693,192289,203781,127,204025,1.730%,39.93323,6.35,19.13
20 Get Stock Transactions Request,10000,418,2,958,3088,8094,1,16391,1.730%,39.98800,24.97,13.89
21 Get Wallet Transactions Request,10000,258,7,207,994,6283,4,15841,1.730%,39.99936,16.88,13.93
22 Get Wallet Balance Request,10000,245,1,124,823,6448,0,14557,1.730%,40.01905,7.47,13.74
23 Get Stock Portfolio Request,10000,217,1,77,587,6539,0,14261,1.730%,40.02161,12.44,13.78
Debug Sampler,10000,0,0,1,1,1,0,65,0.000%,40.02722,50.46,0.00
TOTAL,110000,9651,101,12577,83228,176121,0,204025,0.786%,436.17561,170.27,135.90
