Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
14 Register Request,5000,636,334,1735,2090,2579,7,5011,0.000%,357.14286,58.94,94.17
15 Login Request,5000,331,123,990,1566,2333,1,5265,0.000%,357.01535,126.84,84.58
16 Get Stock Prices Request,5000,273,141,666,956,1896,4,3046,0.000%,355.64407,164.62,121.49
17 Add Money Request,5000,254,122,605,940,1941,8,2813,0.000%,355.31552,56.91,134.91
18 Get Wallet Balance Request,5000,218,81,568,853,1895,1,2776,0.000%,355.51763,66.66,122.14
19 Place Stock Order Request,5000,40165,40946,64071,67540,70287,162,70942,0.000%,58.87894,9.43,28.22
20 Get Stock Transactions Request,5000,15,2,3,3,420,1,2326,0.000%,59.02491,37.35,20.51
21 Get Wallet Transactions Request,5000,15,3,4,5,441,1,2388,0.000%,59.10934,25.22,20.60
22 Get Wallet Balance Request,5000,9,1,1,2,287,0,2183,0.000%,59.23048,11.05,20.35
23 Get Stock Portfolio Request,5000,9,1,1,2,282,0,2180,0.000%,59.32817,18.60,20.44
Debug Sampler,5000,0,0,1,1,1,0,63,0.000%,59.34789,74.73,0.00
TOTAL,55000,3811,28,2007,37885,63375,0,70942,0.000%,635.22862,248.87,198.00
