Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
14 Register Request,1000,113,83,230,301,503,11,760,0.000%,332.00531,54.79,87.45
15 Login Request,1000,63,34,146,228,430,1,588,0.000%,330.14196,117.04,78.12
16 Get Stock Prices Request,1000,129,84,297,433,602,3,1143,0.000%,331.12583,153.28,112.86
17 Add Money Request,1000,110,74,261,339,543,5,794,0.000%,330.68783,52.96,125.31
18 Get Wallet Balance Request,1000,81,39,215,277,476,0,826,0.000%,333.11126,62.46,114.19
19 Place Stock Order Request,1000,9468,9742,14403,14989,15409,94,15491,0.000%,54.30061,8.70,25.99
20 Get Stock Transactions Request,1000,2,3,3,3,8,1,96,0.000%,54.92695,34.75,19.04
21 Get Wallet Transactions Request,1000,1,2,2,2,8,1,144,0.000%,55.21201,23.56,19.20
22 Get Wallet Balance Request,1000,1,1,1,2,4,0,175,0.000%,55.65450,10.38,19.08
23 Get Stock Portfolio Request,1000,1,1,2,2,4,0,158,0.000%,55.69479,17.46,19.15
Debug Sampler,1000,0,0,1,1,1,0,36,0.000%,56.18609,70.64,0.00
TOTAL,11000,906,14,451,9052,14263,0,15491,0.000%,548.40961,214.72,170.61
