Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
14 Register Request,10,299,304,354,354,374,180,374,0.000%,26.45503,4.37,7.08
15 Login Request,10,7,3,17,17,25,3,25,0.000%,44.84305,16.03,10.79
16 Get Stock Prices Request,10,16,13,28,28,29,2,29,0.000%,43.66812,20.21,15.02
17 Add Money Request,10,12,11,14,14,27,7,27,0.000%,41.84100,6.70,15.98
18 Get Wallet Balance Request,10,3,4,4,4,5,2,5,0.000%,42.19409,7.91,14.59
19 Place Stock Order Request,10,208,183,362,362,405,50,405,0.000%,15.67398,2.51,7.55
20 Get Stock Transactions Request,10,2,2,3,3,3,1,3,0.000%,17.27116,10.93,6.04
21 Get Wallet Transactions Request,10,2,2,4,4,4,2,4,0.000%,17.27116,7.37,6.06
22 Get Wallet Balance Request,10,1,2,2,2,3,1,3,0.000%,17.33102,3.23,5.99
23 Get Stock Portfolio Request,10,1,1,2,2,3,1,3,0.000%,17.36111,5.44,6.02
Debug Sampler,10,0,0,1,1,1,0,1,0.000%,17.45201,21.97,0.00
TOTAL,110,50,3,231,339,374,0,405,0.000%,46.86834,18.37,14.72
